GeneName	NV_controlLung86	NV_controlLung87	NV_controlLung88	NV_controlLung89	NV_fer1Lung2	NV_fer1Lung3	NV_fer1Lung4	NV_fer1Lung10	NV_vehLung1	NV_vehLung2	NV_vehLung3	NV_vehLung4
Itsn1	755	834	750	916	542	1237	1705	3796	1013	1296	785	1093
Tmprss11b	6	3	4	0	2	1	3	29	0	10	4	4
Prdm8	31	9	13	32	19	21	61	60	45	26	22	19
Tmprss11f	0	0	0	0	0	0	0	0	1	0	0	0
Gnrhr	2	0	0	0	1	6	2	4	2	4	2	1
Donson	138	97	107	104	81	236	216	713	201	239	126	205
Sidt1	129	67	72	97	90	151	91	413	104	334	92	89
Stap1	118	121	88	97	98	313	249	600	135	228	132	194
Son	9929	8312	8203	7839	5588	10147	11634	31575	11861	10732	6486	7755
Epha5	5	2	3	0	5	2	3	9	2	11	3	5
Dnajc28	137	110	148	131	63	167	166	468	92	126	79	112
Tmem50b	2508	2448	2272	2345	1252	2728	3168	10681	3783	2089	1417	2009
Naa11	12	11	15	11	27	31	50	80	8	29	32	64
Ifngr2	1027	905	916	823	560	1355	1504	3583	1650	1441	789	1199
Paqr3	75	82	53	68	57	84	115	224	144	76	44	83
Paxbp1	938	705	631	710	421	861	968	2851	1234	882	518	795
Evi5	1539	1595	1503	1545	1014	1785	2373	6695	1840	1852	1075	1563
Bmp2k	1435	942	899	770	675	1149	1336	3849	988	1530	773	836
Boc	800	608	547	769	535	1127	1311	3001	1088	1457	622	1141
Gfi1	29	13	44	41	21	47	47	104	30	43	27	70
Gtpbp8	130	105	113	112	60	117	162	396	173	129	98	104
Anxa3	7845	7559	6372	7727	5182	7449	8267	22582	7488	6195	3702	5985
Cd200r1l	84	90	86	71	105	109	240	584	116	114	106	61
Igfbp7	10791	10736	10307	10999	7923	13375	18032	44914	18522	13535	8537	12814
Synj1	1661	1549	1478	1449	1148	2230	2587	6501	1992	2013	1237	1659
Ccdc80	3382	3694	2252	3146	2099	4749	4195	10706	6050	5071	2907	3725
Fras1	1170	1166	1007	838	872	1274	1696	3377	1530	976	736	606
Glmn	217	188	165	153	134	230	252	653	249	230	120	215
Noa1	165	197	188	190	140	185	274	663	214	243	116	251
Slc10a6	430	479	333	246	372	439	652	2108	1011	725	497	256
Ptpn13	3907	3589	3167	3286	2631	3006	3617	13741	3525	3842	2331	2723
Slc35a5	715	741	596	522	443	695	955	2556	672	730	427	616
Mrpl1	369	374	341	272	220	503	516	1207	420	396	274	330
Eva1c	284	174	144	140	121	191	189	559	334	272	113	132
Brdt	38	25	20	37	21	16	33	123	37	21	33	31
Rest	667	635	726	576	459	841	1084	2733	676	818	554	607
Cnot6l	1079	998	1070	865	722	1374	1795	4640	1295	1235	773	940
Mapk10	4	5	9	12	10	1	5	23	5	11	7	8
Urb1	843	703	650	616	430	761	857	2324	1077	962	565	819
Thegl	14	15	12	8	11	25	37	78	27	14	16	26
Ccng2	1165	1378	1319	1350	820	1741	2154	4945	997	1156	923	1320
Gtf3c3	421	413	427	437	293	580	610	1766	674	609	268	478
Hunk	192	132	66	61	88	146	171	469	312	278	181	143
Tgfbr3	2957	2900	3290	2720	2142	2196	2486	8088	2016	2418	1405	1981
Atg3	1318	1350	1268	1330	887	1785	2284	5663	1654	1523	955	1478
Rasl11b	807	609	429	489	229	544	537	1834	2025	760	310	571
Srp72	2004	2002	1870	1939	1336	2642	3082	8200	2810	2590	1536	2327
Paics	1638	1841	1724	1759	1120	2316	2440	6806	2001	2063	1387	1689
Scaf4	835	886	852	810	617	865	1097	3165	1064	961	562	815
Cdc7	68	58	36	44	85	163	134	535	127	208	89	163
Usp46	2049	2489	1883	2150	1425	2231	2921	7880	2661	2248	1469	1716
Fam114a1l1	11	45	17	32	12	75	64	229	34	28	13	53
Zfp644	995	907	896	883	571	1010	1187	3310	979	941	579	843
Sod1	2679	2778	2289	3057	1899	3603	4333	11487	3712	3401	2045	3195
Barhl2	0	0	0	0	0	0	1	0	0	0	0	0
Spata18	545	548	555	645	503	825	697	3239	764	1973	606	449
Lrrc8d	1605	1469	1545	1569	1023	1727	2035	5948	2200	1597	1194	1543
Ccni	3902	4482	4038	4208	2375	4696	6283	16943	4969	4016	2711	3871
Ncam2	3	0	0	2	0	0	0	4	2	9	1	1
Ppat	630	714	656	613	397	821	1035	2955	910	911	560	723
Lrrc8b	800	811	917	772	492	878	1132	2969	899	730	500	623
Gbp6	0	2	0	2	5	10	2	34	5	7	0	2
Sgcb	739	511	621	659	497	771	1014	3340	860	1533	556	720
Aasdh	268	206	213	240	168	233	342	947	270	287	175	213
Cracd	32	13	24	10	61	50	110	117	152	78	51	87
Cd200	1882	1848	1474	1552	1086	2987	3502	9490	3649	3252	1861	2518
Cds1	1404	1404	1308	1449	562	1316	1328	5769	1631	1483	931	934
Exoc1	950	929	854	774	613	1280	1568	3856	1365	1178	827	1062
Tmprss7	2	2	7	0	4	8	5	10	14	1	10	9
Pkd2	1602	1524	1500	1496	996	1836	2155	6324	1962	2206	967	1955
Nkx6-1	0	2	0	0	0	1	0	2	0	3	0	0
Dcun1d4	479	537	548	530	365	737	930	2359	678	700	414	705
Cep135	198	179	142	143	114	265	324	935	210	262	154	176
Mepe	0	0	0	0	0	0	0	3	0	0	0	0
Ibsp	0	16	0	1	68	104	6	228	0	43	0	131
Gpat3	260	257	285	257	154	406	353	836	556	384	225	305
Tlr6	239	266	266	228	164	451	449	1034	385	374	234	312
Klf3	3575	3084	3005	2484	1825	2723	3323	8373	2961	2945	1771	2388
Nmu	2	2	2	2	6	1	0	5	1	4	11	3
Abraxas1	152	99	138	132	87	211	193	544	201	167	93	168
Dmp1	8	8	4	5	3	15	4	21	21	15	3	11
Dspp	1	1	0	0	0	0	1	0	0	0	0	0
Pdcl2	0	0	5	1	0	2	1	10	5	0	4	0
Phldb2	2037	2922	3186	3161	1784	3293	4256	12095	3293	2843	1682	2897
Cwh43	29	63	33	41	20	10	14	79	11	6	6	17
Clock	1871	1870	1856	1673	1245	2018	2383	6942	2121	2190	1273	1600
Nectin3	3903	4286	3963	3789	3057	4684	7205	17254	5810	4780	2988	3537
Gnpda2	525	473	440	399	359	579	774	1947	591	543	333	537
Mrps18c	424	436	379	341	250	495	610	1493	508	446	263	390
Tbc1d1	677	679	654	645	623	1442	1379	3800	1487	1476	839	1256
Helq	154	107	133	152	106	193	177	574	201	166	96	122
Septin11	3056	3313	3026	2474	2264	4407	5131	12835	4208	4001	2260	3398
Pgm2	1256	1178	1213	1011	779	1640	1940	4835	1673	1400	895	1130
Nudt9	809	825	682	716	545	891	1220	2956	1250	992	713	976
Ropn1	4	0	1	0	0	0	0	2	0	1	0	0
Hpse	808	1068	705	968	559	995	1206	4079	1251	891	746	964
0610040J01Rik	288	344	214	258	203	298	432	1248	426	483	262	252
Rell1	889	840	792	749	434	935	1177	2862	1454	989	601	716
Coq2	511	541	426	517	379	588	648	2020	640	597	413	581
Ociad2	964	1110	944	1135	620	1314	1459	3933	1410	1019	788	1044
Tmem165	1025	974	845	838	642	1255	1673	4141	1919	1174	794	1173
AABR07072371.1	7	9	15	14	6	12	4	43	16	8	8	7
Sowahb	95	83	104	100	37	72	70	299	98	80	45	68
Lin54	456	506	446	439	355	589	810	2154	583	567	344	440
Ccdc158	39	44	74	102	27	44	49	274	45	56	38	44
Ociad1	2591	2733	2375	2490	1628	3174	3778	10177	3264	2960	1830	2759
Guf1	440	457	398	376	293	592	604	1606	640	605	342	469
Shroom3	1956	2205	2124	2353	1386	2333	3221	8710	3449	2827	1489	1943
Hsd17b11	1417	1449	1304	1552	1022	2031	2261	6325	1965	1623	1248	1446
Hsd17b13	29	35	23	34	26	60	42	114	52	24	29	49
Klhl8	609	492	476	463	300	428	660	1518	456	506	275	381
Mylk	8132	6593	6808	5904	6190	9616	11010	26927	9598	10317	5228	8242
Srd5a3	792	833	780	810	624	1248	1387	3806	1242	1079	721	1045
Plac8	1591	1596	1537	1478	565	2188	1767	4085	1355	1529	717	1183
Stbd1	160	146	144	148	86	176	232	574	247	180	116	181
AABR07012587.1	0	0	0	0	0	0	0	0	0	0	0	0
Yipf7	1	1	2	2	0	1	1	0	1	4	0	0
Scarb2	2654	2982	3068	3272	2344	4463	5373	15056	3720	3730	2744	2925
Kit	1808	2649	2876	2858	1344	2392	3407	7867	1580	1191	1140	1866
Adcy5	507	361	467	358	275	449	535	1558	520	625	267	574
Aff1	1847	1251	1305	1169	986	1399	1754	5131	1255	1825	797	1083
Sema5b	39	38	14	42	14	33	35	115	38	38	19	24
Slc49a4	830	847	771	803	579	1009	1149	3134	935	784	551	815
Hspbap1	199	187	173	197	106	291	330	753	199	187	142	227
Pdgfra	4542	2474	2590	2422	2564	3637	3520	11946	4105	4596	1747	4519
Slc30a9	2048	1864	1655	1692	1081	2055	2560	6528	2250	1898	1174	1602
Nup54	573	446	413	425	256	540	546	1718	739	604	331	594
Fryl	1530	1602	1413	1437	1280	1854	2532	6301	1746	1880	1182	1375
Sec31a	2141	2274	2188	2075	1389	2569	3201	8129	2678	2536	1614	2281
Wdr5b	182	150	165	151	111	197	265	734	310	243	103	214
Tmem33	1708	1819	1589	1530	1027	2088	2837	7070	2192	2052	1351	1604
Fam162a	1184	1134	905	827	658	1495	1686	3775	1647	1280	837	1508
Art3	40	30	29	77	24	44	34	94	64	103	24	52
Tmem150c	125	121	77	92	21	56	113	292	102	150	30	107
Enoph1	488	530	435	461	318	531	762	1883	670	650	380	659
Casr	0	0	0	0	0	2	0	2	0	2	1	3
Gsx2	0	0	0	0	0	0	0	0	0	0	0	0
Chic2	433	398	368	418	238	491	644	1448	491	502	310	452
Hnrnpdl	2952	2166	2245	2273	1552	2583	3029	8524	3923	3187	1695	2695
Slain2	2238	2646	2250	2270	1610	2454	3621	9075	2741	2590	1485	2086
Lnx1	53	56	48	73	44	51	59	281	91	54	38	86
Naaa	4616	6114	4858	5050	4910	10360	15960	39030	10161	8062	10094	6962
Fip1l1	761	821	727	769	489	875	1050	3109	1038	940	550	729
Phf6	496	453	501	556	375	656	885	2373	586	661	407	568
Tec	318	322	321	346	252	532	689	1451	526	476	340	403
Fam122b	626	718	616	634	331	786	904	2953	1006	551	543	511
Ildr1	168	143	181	241	83	173	257	864	154	233	113	105
Brwd3	266	251	255	206	176	375	453	1168	280	308	225	256
Hnrnpd	1650	1722	1651	1623	1106	2301	2349	6943	2728	2329	1289	2121
Snx29	367	442	356	332	235	413	568	1328	366	381	273	287
Uso1	2438	2647	2338	2328	1661	3479	3928	10079	3540	3436	1906	2827
Corin	73	72	64	75	56	91	102	371	89	214	62	42
Kcnj12	92	89	91	91	74	192	341	682	307	107	89	192
Tnfrsf13b	24	11	21	22	13	31	33	65	12	39	15	12
Slc15a2	774	435	740	915	471	771	790	3604	716	590	333	376
Hlx	439	551	467	420	233	534	714	1432	502	381	275	596
Atp10d	868	955	973	945	746	1322	1466	3898	1173	1606	882	1206
Limch1	9401	10025	8950	8193	8302	10707	13661	38092	10012	11290	7191	7728
Tsn	1611	1637	1503	1498	1135	2291	2664	7238	2504	2256	1348	2127
Commd8	665	742	576	620	437	936	1177	3199	917	902	569	797
RGD1310587	1997	3661	2241	3418	1455	2586	2902	9440	1696	1737	1306	2542
RGD1566265	248	232	292	224	156	295	409	1199	329	324	217	241
Gabrb1	0	0	1	0	0	0	0	0	0	0	0	0
Aldh3a1	113	112	57	155	55	51	67	229	51	90	48	52
Mospd1	0	3	2	0	0	3	0	7	1	2	2	0
Olr982	0	0	0	0	0	0	0	0	0	0	0	0
Gabra4	0	0	0	0	0	0	1	1	1	1	0	1
Dgke	146	169	171	154	117	197	227	589	177	174	111	100
Mark1	74	143	79	105	65	114	122	451	146	179	76	105
ENSRNOG00000002340	2	0	0	0	0	0	0	0	0	0	1	0
Trim25	989	1137	1021	888	708	1044	1485	4607	1270	1122	902	862
Aldh3a2	2292	2545	2183	2144	1646	2670	3200	9385	2770	2494	1625	2264
Uchl1	27	16	18	31	14	29	33	88	25	26	16	37
Rasgef1b	811	634	462	539	500	642	1039	2916	1330	892	403	389
Tbx22	6	1	0	8	0	2	3	5	9	0	2	1
Rgl1	1506	1612	1526	1640	1390	2813	3461	8629	2670	2320	1532	2125
Gabra2	1	0	0	0	0	3	0	5	1	0	0	1
Eaf2	9	13	8	3	5	18	10	30	11	10	10	7
Tsen15	367	327	276	284	197	374	358	1097	404	330	195	358
Rab3gap2	1351	1344	1379	1232	864	1782	2235	5566	1924	1676	1069	1379
Scpep1	2914	2964	2110	2195	1918	4953	4815	13216	4338	4733	3409	3996
Gabrg1	0	0	1	0	0	0	0	0	0	0	0	0
Prkg2	2	0	0	3	1	1	3	7	0	1	1	1
Rnf112	14	21	17	46	27	29	121	93	183	24	54	35
Itm2a	910	1208	752	936	530	799	872	2689	700	841	429	600
Iars2	1121	980	1166	1036	719	1569	2008	4582	1256	1214	799	1035
Rgs8	1	2	1	1	0	2	2	3	1	1	2	4
Sgcd	73	55	70	77	47	84	83	227	125	79	45	74
Akap1	1053	1184	1079	1157	584	1161	1375	4004	1249	1078	693	1058
Clasp1	1535	1706	1715	1570	1082	2208	2602	6439	2014	1905	1311	1434
Bpnt1	490	537	539	472	426	726	832	2424	722	649	399	659
ENSRNOG00000002379	1	9	5	3	3	2	1	14	7	1	2	4
Bmp3	496	433	184	501	221	214	595	1803	451	191	427	375
Prg4	3101	4747	4178	3452	3078	6565	7750	20512	9071	5310	3460	4535
ENSRNOG00000002387	332	274	220	217	168	236	350	827	298	285	183	185
Trim41	946	1069	1030	999	710	1109	1476	4027	1198	1151	717	1172
Morf4l2	4887	4738	4021	3783	3092	6255	6703	18644	7653	6591	3464	5785
Glra4	0	0	0	3	1	0	0	3	2	1	0	0
Eprs	3219	3835	3245	3005	2637	4554	5311	13940	4254	5186	2721	3764
Tpr	3089	3610	3321	3026	2298	4342	5210	13104	4168	4247	2598	3261
Serpinb8	568	643	598	596	519	1087	979	2601	1026	813	679	600
Slc30a10	2	0	0	0	0	2	0	0	0	0	0	0
Niban1	2963	2526	2565	2192	1792	4078	3770	10398	3699	4481	2133	2759
Pdxdc1	1167	1386	1310	1219	1006	1787	2166	5891	1653	1751	1177	1140
Rbm47	539	491	539	473	271	464	684	2148	687	666	478	403
Gpc4	867	1070	908	1077	738	1160	1423	3463	1244	1004	617	936
Tfcp2l1	1461	1552	1374	1210	620	1254	1313	5721	1904	953	778	883
Serpinb10	1138	1179	803	1056	216	790	218	2214	670	94	77	182
Tgfb2	1354	1372	1516	1311	908	2054	3026	5150	2287	1536	994	2049
Plp1	108	47	70	76	44	97	94	251	84	137	69	70
Zc3h7a	2342	1724	1792	1696	1140	2134	2639	6755	2820	2467	1365	1948
Fam114a2	1590	1600	1247	1276	771	1514	1664	4997	1515	1384	864	1316
Pctp	676	630	539	467	237	579	651	1702	720	555	305	437
Lpar4	24	25	26	22	16	50	45	182	27	29	17	13
Rtl3	4	2	0	2	0	2	0	4	1	2	0	0
G3bp2	2568	2568	2186	2014	1775	3472	4298	10498	3687	3711	2161	3173
Tmem100	14513	12639	11170	10409	2948	4203	6806	12477	6872	4611	2100	2712
Mmd	1775	1483	1096	1002	1017	1270	1735	5570	2027	1544	868	1385
Ralb	1501	1633	1732	1420	827	1840	2491	6215	2204	1655	1120	1865
Mfap3	926	879	797	719	603	1031	1268	3609	1036	986	677	841
Maged2	1245	1146	907	905	904	1486	1724	4258	1784	1557	899	1416
Rrp15	427	394	344	380	254	447	613	1405	594	468	299	521
Fndc3c1	0	4	3	2	2	5	1	6	4	1	1	8
Txndc11	595	689	607	682	449	834	939	2502	841	886	446	784
Rnf2	836	766	770	705	431	841	1094	2764	892	888	492	749
Fbxo40	79	80	42	61	57	25	40	235	109	114	29	77
Serpinb2	2	2	2	6	3	0	3	4	7	2	2	3
Nid1	3366	2844	2812	2113	2962	5664	6846	15598	5079	5419	3051	5683
B9d1	412	470	356	404	268	480	504	1776	586	561	273	385
Tnr	7	7	4	11	1	7	7	15	11	5	3	7
Trim7	33	29	22	43	23	47	71	142	24	62	19	71
Ifi47	756	792	832	750	640	1331	1462	3344	1519	1474	695	1309
Polq	28	32	37	16	36	95	102	369	46	122	34	74
Odr4	668	597	575	580	419	882	1073	2537	874	823	564	632
Tom1l1	278	363	333	404	176	367	515	1237	386	369	261	298
AABR07058831.1	19	120	39	110	35	34	31	241	29	72	41	96
Insig2	264	278	252	255	167	365	472	1166	289	297	160	278
Gpr137b	395	366	467	358	339	717	1010	2097	684	656	573	418
Chrna9	0	0	0	0	0	0	0	0	0	0	0	0
Olr1390-ps	0	0	0	0	1	0	0	0	0	0	0	0
Mbnl3	112	116	122	84	65	119	165	558	119	123	74	78
Galnt10	1524	1574	1481	1358	1477	1214	1970	5839	1169	1441	1172	1689
AABR07063126.1	0	0	0	0	0	1	1	1	1	0	6	1
Stxbp5l	1	0	1	1	0	1	0	3	2	6	0	0
Anos1	0	0	0	0	0	0	0	0	0	0	0	0
Ddx3y	1	3	3	0	6	11	9	43	5	29	0	9
Spata17	60	32	39	42	40	44	79	242	57	144	43	36
Cdkl2	405	383	268	243	248	443	664	1572	523	635	337	395
Gnl3l	1868	1895	1743	1715	1384	2784	3131	8294	2601	2679	1506	2232
Flt4	551	484	470	447	314	718	825	1942	650	716	384	698
Gpatch2	546	558	478	489	414	752	890	2324	758	660	495	611
Ccdc93	409	428	466	454	312	663	883	2047	534	688	514	548
Mtm1	647	730	592	622	400	591	886	2168	642	639	410	550
Pdc	0	0	0	0	0	0	0	0	0	0	0	0
Litaf	1890	2053	1806	1850	1462	3643	4744	10995	4246	4002	2441	3757
Gpr37	33	54	33	64	50	87	86	269	85	169	65	61
Ptgs2	184	110	102	133	68	256	238	468	182	140	82	120
Rap2c	425	472	417	408	309	622	738	1913	604	555	370	510
Wnk3	31	36	28	20	8	50	51	150	28	38	14	28
Epb41l5	1362	1446	1200	1355	898	1447	2009	5814	1269	1373	1033	1028
Prm2	0	0	0	0	0	0	0	0	0	0	0	0
Rhoh	322	302	289	349	197	577	582	1269	393	391	303	381
Pds5a	1320	1507	1445	1330	1044	1826	2350	6194	1711	1972	1132	1351
Heatr6	383	407	360	398	286	441	602	1566	546	495	300	403
Kifap3	1286	1458	1210	1273	1022	1572	2056	5358	1588	1557	984	1268
RGD1309748	1578	1569	1425	1473	947	1734	2275	5594	1749	1811	1014	1617
Rchy1	884	836	701	729	516	987	1176	3411	1140	1009	526	891
Tnn	6	12	7	2	19	24	40	33	19	84	30	17
Htr5b	0	0	0	0	0	0	0	1	0	0	0	0
Serpinb7	27	29	56	27	86	49	77	227	162	590	70	545
Mcts1	561	592	467	502	361	675	893	2214	782	726	451	571
Prm3	0	0	0	0	0	0	0	0	0	0	0	0
Taf1	1509	1531	1526	1464	1101	2096	2460	6843	2003	1934	1163	1497
Tnp2	0	0	0	0	0	0	0	0	0	0	0	0
Socs1	69	39	57	43	20	48	58	164	114	79	44	73
Mrps14	476	552	425	457	289	560	661	1977	735	567	386	627
Tekt5	90	136	104	155	56	77	104	389	93	73	62	74
Cacybp	1189	1416	1182	1193	665	1446	1911	4841	1545	1508	909	1300
Sap30l	430	525	437	446	256	518	665	1751	647	424	310	478
Parm1	540	598	306	365	348	948	822	2029	1195	1547	512	1078
Trmt1l	521	530	509	532	280	538	699	1915	524	582	309	477
Hand1	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb11	21	2	5	5	10	13	12	19	22	29	10	10
Cul4b	1253	1334	1214	1214	912	1915	2314	5968	1704	1569	1078	1467
Rps6ka6	13	9	7	12	3	8	15	32	5	9	11	6
Esrrg	20	6	8	5	3	7	9	14	5	21	5	2
Dpp10	0	0	0	0	0	0	0	1	0	0	0	0
Hsd17b6	0	0	0	0	0	0	0	0	0	0	0	0
Hnf1b	325	484	424	531	152	360	488	1523	346	346	228	304
Grap	1107	1077	915	833	482	865	987	2893	974	773	382	757
Serpinb12	1	0	0	0	1	1	0	2	4	3	0	0
Sox9	72	147	138	120	28	21	84	208	35	43	31	18
Ero1b	322	280	274	269	154	419	553	1312	394	416	257	302
Carhsp1	3076	3111	3076	2918	2207	3621	4613	12553	4257	3717	1980	3812
Ddx52	480	465	422	450	277	638	606	1772	635	593	319	494
Pmm2	878	917	854	876	567	1142	1674	4198	1341	1178	842	1201
Slc5a10	0	0	1	0	0	1	2	5	0	0	0	0
Ivns1abp	4712	4330	3270	3141	1943	3911	4671	11985	4470	4264	2557	3293
Edaradd	60	70	68	50	64	129	188	448	121	108	55	129
Ptpn4	460	409	477	421	367	666	959	2695	526	607	413	355
Car10	0	0	0	2	0	0	1	1	1	0	0	5
Kctd3	964	1210	1217	1319	635	939	1067	3705	1135	1057	624	922
Vom2r32	0	0	0	0	0	0	0	0	0	0	0	0
Cnot8	1934	1855	1599	1610	1174	2285	2784	6942	2258	2080	1373	1820
Naca	6700	6638	6178	6527	4015	8926	9572	28047	8420	7602	4890	7036
ENSRNOG00000002635	1	3	1	1	2	2	2	1	4	3	0	0
Abat	0	2	2	4	0	12	10	12	2	16	0	3
Serpinb5	0	0	0	0	0	0	0	0	0	1	0	0
Vom2r28	0	0	0	0	0	0	0	0	0	0	0	0
Ptges3	3796	3917	3450	3517	2212	4721	5514	14996	5512	4841	2814	4683
Ugdh	876	758	848	786	569	1180	1158	2980	1406	1346	586	1197
Utp18	457	416	371	361	194	461	626	1416	579	496	326	417
Gemin5	494	513	448	457	316	603	661	1954	529	656	347	588
Rap1gap2	797	683	757	691	437	1190	1398	3541	996	818	499	831
Kcnk2	222	304	273	275	63	72	177	303	107	101	50	55
Pla2g4a	465	493	366	408	282	640	770	1889	483	780	453	463
Ciita	476	553	572	475	478	1157	1086	3168	918	1229	554	774
Magee1	35	40	42	52	21	63	80	182	64	47	27	39
Pbdc1	539	619	445	475	351	733	827	1964	871	715	422	657
Emp2	19725	27190	22064	23496	17746	25348	34989	97028	28779	23314	18324	20897
Lamc2	3402	4479	5369	4206	2112	4732	5824	12255	7281	5113	3352	4269
Cluh	2524	2117	1940	2301	1293	2328	2533	8232	3457	2539	1679	2534
Nme2	2509	2548	2118	2058	1732	3569	4223	10110	4058	3787	2113	3831
Lamc1	5691	5413	5250	4610	4597	9499	11201	24033	11103	8298	4769	8288
Zfp692	487	361	292	353	191	349	482	1346	614	472	290	404
Shcbp1l	0	0	0	0	0	0	2	2	0	0	1	0
Nme1	524	542	496	492	364	780	1021	2466	1010	825	473	804
Tfb2m	539	455	461	414	248	504	594	1709	582	616	303	502
Mtmr1	728	772	695	633	381	816	1007	2790	903	799	509	762
Hgd	71	104	49	55	51	95	111	458	138	71	112	88
Vps4b	2247	2341	2201	2239	1472	2698	3339	9156	2857	2600	1664	2185
Phf8	1047	1032	946	976	593	1213	1502	3842	965	1080	721	903
Cnst	1123	1253	1057	1074	653	1331	1628	4418	1249	1141	725	940
Nuf2	72	68	73	35	128	341	347	1175	310	262	135	260
Zfp672	508	467	509	482	252	478	621	1407	558	508	304	530
Mettl22	229	181	164	178	112	179	244	724	278	243	126	224
Scgb3a1	118	100	30	1930	50	43	50	296	34	7012	88	25
Ndufb4	1364	1318	1150	1238	810	1528	1945	4863	1831	1321	1018	1330
Sec14l1	5871	6143	5421	5007	3413	3968	5464	15262	4661	4506	2385	3960
Sele	42	71	107	63	27	72	92	195	118	124	28	83
Prpsap2	439	482	474	512	330	779	770	2235	832	721	414	606
Btc	12	12	10	8	11	19	10	46	9	16	18	7
Rgs5	1118	1646	1014	1022	416	661	848	2971	530	796	336	460
Dhx9	2372	2966	2671	2444	1991	3300	4156	11421	2819	3290	2103	2406
Rabgap1l	626	700	722	695	699	959	1444	3191	899	1326	644	832
Fstl1	5641	4905	4033	4213	3999	8566	8604	22628	9103	7626	4336	8499
Ccdc43	542	525	458	449	302	642	772	2255	722	643	380	631
Spag9	4832	4618	4591	4188	3615	6114	8054	19748	6727	6456	3685	5036
Rc3h1	676	582	651	529	437	789	960	2733	625	764	472	507
Zdhhc15	125	105	121	70	85	118	142	542	125	162	101	129
Adam11	9	10	3	6	4	6	10	40	16	37	15	13
Areg	561	273	294	186	80	229	255	482	1058	536	119	251
Pafah1b1	5774	5772	5669	5159	3789	6845	8550	22936	7160	6616	4074	5571
Tada2a	368	392	386	417	231	449	496	1460	388	518	259	352
Lias	270	252	187	239	131	268	320	979	256	288	195	193
Ulk2	1529	1674	1528	1581	1158	1843	2604	6210	1654	1808	1246	1243
Mettl16	510	486	440	427	334	577	603	1868	564	616	277	573
Dlg3	715	692	695	752	292	517	832	2126	688	592	325	429
Tmem114	0	0	0	0	0	0	0	0	0	0	0	0
Ereg	100	59	46	31	48	46	104	129	186	148	50	70
Rgs4	253	410	445	139	106	300	758	1014	456	389	123	253
Npl	334	342	301	288	296	710	1093	2431	575	562	534	545
Sell	1269	1120	1195	1083	567	3169	1942	3678	1108	1664	783	1053
Aatf	189	217	203	216	151	270	308	760	304	325	208	323
Kdsr	1581	1579	1524	1557	838	1313	1678	4943	1524	1304	832	1189
Epgn	1	0	0	0	1	1	2	1	5	0	2	0
Serpinc1	0	0	0	0	0	0	0	0	1	0	0	2
Pou3f4	0	0	0	0	0	0	0	0	0	0	0	0
AABR07039648.1	23	12	12	27	11	38	26	96	22	31	27	33
Abcb7	361	400	397	282	266	484	561	1444	460	459	315	330
Cxcl2	51	24	29	19	11	35	71	93	177	88	20	56
Sstr2	1	3	1	10	1	1	2	10	1	2	5	1
Selp	170	156	228	137	140	412	237	747	431	371	74	390
Cog1	1038	977	833	894	576	1040	1237	3332	1227	1170	727	951
Gpr156	5	0	0	1	1	4	3	18	6	5	2	6
Gdpd2	131	113	94	97	89	111	179	546	151	254	131	108
Cxcl1	574	580	399	319	236	272	668	1142	1587	876	357	853
Septin9	3584	3717	3364	3372	2596	5293	5790	15664	4977	5370	3444	4428
Gfpt2	116	88	130	97	63	123	97	336	253	489	70	121
Brinp3	0	0	0	0	0	0	0	0	0	1	0	0
Lhx1	1	0	1	2	0	0	0	2	0	0	0	1
Dars2	0	0	0	0	0	0	0	0	0	0	0	0
Eftud2	1483	1670	1460	1573	1031	2356	2387	6650	1951	1963	1176	1701
ENSRNOG00000002820	578	331	441	479	203	546	572	1232	321	257	280	310
Phlpp1	838	958	1056	1023	531	787	1279	2717	742	733	430	620
Mapk9	1292	1231	1167	1306	769	1362	1729	4856	1550	1307	796	1254
Hsd17b7	63	89	61	53	67	81	138	292	119	129	72	91
Rbfox1	1	8	4	21	3	13	2	13	11	26	7	5
Tob1	949	879	768	836	641	977	1642	4371	1116	1259	752	993
Ppbp	5	4	12	1	1	7	2	15	1	4	1	2
Wfikkn2	22	5	5	7	11	23	32	85	32	33	9	12
Slc16a2	759	680	637	596	430	609	746	2119	753	543	348	581
Gsk3b	689	745	774	651	572	910	1233	3375	887	931	588	684
Klb	0	0	0	0	0	0	0	1	0	2	0	0
Luc7l3	3847	2579	2447	2487	1463	2978	3213	8979	3530	3262	1795	2664
Slc19a2	282	281	183	266	283	493	630	1522	450	498	289	557
Atp5f1b	13046	14882	13425	14449	8322	16029	20157	58179	17346	15909	10153	15840
Cdc42bpa	2406	2375	2172	2196	1572	2662	3384	8531	2956	2732	1515	2215
Cxcl6	25	49	60	57	66	85	174	103	194	424	137	133
Usp27x	41	44	26	40	43	48	91	180	67	47	21	35
Lypd9	2	0	0	0	0	0	0	0	0	0	0	0
Maoa	1306	1276	1214	1309	785	1535	1958	4711	1596	1565	738	1121
Fam104a	896	893	810	772	525	980	1236	3013	1095	981	579	926
Myo19	298	274	295	279	232	426	468	1187	514	450	249	446
Rfc1	1174	1334	1210	1132	847	1650	1842	4841	1455	1402	868	1194
Or11l3	0	1	0	0	0	0	0	0	0	0	0	2
Ccdc181	239	256	232	318	189	342	408	1122	316	525	262	249
